date,close,logprice
2017-11-09,320.8840026855469,5.771079695472587
2017-11-10,299.25299072265625,5.701289338448815
2017-11-11,314.6809997558594,5.751559426511605
2017-11-12,307.9079895019531,5.729801002960002
2017-11-13,316.71600341796875,5.758005484058145
2017-11-14,337.6310119628906,5.821953618582576
2017-11-15,333.35699462890625,5.809213971681509
2017-11-16,330.92401123046875,5.8018887756992275
2017-11-17,332.3940124511719,5.8063210497359385
2017-11-18,347.61199951171875,5.8510869138302635
2017-11-19,354.385986328125,5.870386675985592
2017-11-20,366.7300109863281,5.90462591243298
2017-11-21,360.4010009765625,5.887217303134772
2017-11-22,380.6520080566406,5.941885593074287
2017-11-23,410.1659851074219,6.016561919497472
2017-11-24,474.9110107421875,6.163127440677303
2017-11-25,466.2760009765625,6.144777735572721
2017-11-26,471.3299865722656,6.155558457138586
2017-11-27,480.3550109863281,6.174525436749557
2017-11-28,472.9020080566406,6.158888195901421
2017-11-29,427.52301025390625,6.0580081120836295
2017-11-30,447.114013671875,6.102813626233138
2017-12-01,466.5400085449219,6.145343779835928
2017-12-02,463.4490051269531,6.138696357652051
2017-12-03,465.8529968261719,6.143870126903909
2017-12-04,470.2040100097656,6.153166664376208
2017-12-05,463.281005859375,6.138333794084611
2017-12-06,428.5880126953125,6.060496114135314
2017-12-07,434.4079895019531,6.073984160490081
2017-12-08,456.031005859375,6.122560802508457
2017-12-09,473.50201416015625,6.160156166387215
2017-12-10,441.72100830078125,6.090678479845847
2017-12-11,515.135986328125,6.244430916930947
2017-12-12,651.4310302734375,6.4791715279885524
2017-12-13,702.7670288085938,6.5550254411666184
2017-12-14,695.8159790039062,6.545085227392217
2017-12-15,684.447998046875,6.528612671129471
2017-12-16,696.208984375,6.545649880170544
2017-12-17,719.9749755859375,6.57921645527545
2017-12-18,794.64501953125,6.677895498623345
2017-12-19,826.822998046875,6.717590643152349
2017-12-20,819.0859985351562,6.708189082656932
2017-12-21,821.06298828125,6.710599827923924
2017-12-22,674.8599853515625,6.514505240247341
2017-12-23,719.3870239257812,6.578399493742414
2017-12-24,694.1480102539062,6.542685209026954
2017-12-25,765.833984375,6.640965415670185
2017-12-26,773.8359985351562,6.651359962940779
2017-12-27,762.8419799804688,6.637050906271291
2017-12-28,737.0230102539062,6.602619113213361
2017-12-29,753.5919799804688,6.6248510809290755
2017-12-30,717.2570190429688,6.5754342408616475
2017-12-31,756.7329711914062,6.629010445093513
2018-01-01,772.6409912109375,6.649814505012866
2018-01-02,884.4439697265625,6.784959164760742
2018-01-03,962.719970703125,6.8697625810406855
2018-01-04,980.9219970703125,6.888492942714189
2018-01-05,997.719970703125,6.90547264646076
2018-01-06,1041.6800537109375,6.948590124982312
2018-01-07,1153.1700439453125,7.050269988965972
2018-01-08,1148.530029296875,7.0462381683235815
2018-01-09,1299.739990234375,7.169919515933439
2018-01-10,1255.8199462890625,7.135543981886457
2018-01-11,1154.9300537109375,7.05179506156446
2018-01-12,1273.199951171875,7.149288657057226
2018-01-13,1396.4200439453125,7.241667129141979
2018-01-14,1366.77001953125,7.220205585212192
2018-01-15,1291.9200439453125,7.163884796936317
2018-01-16,1053.68994140625,6.960053512585021
2018-01-17,1014.25,6.9219047020865565
2018-01-18,1036.280029296875,6.943392684844464
2018-01-19,1039.0999755859375,6.9461102093632086
2018-01-20,1155.1500244140625,7.05198550578834
2018-01-21,1049.5799560546875,6.956145321260802
2018-01-22,1003.260009765625,6.911009986436525
2018-01-23,986.22900390625,6.893888583118518
2018-01-24,1058.780029296875,6.9648726085362975
2018-01-25,1056.030029296875,6.96227190069605
2018-01-26,1055.1700439453125,6.961457212017295
2018-01-27,1107.0699462890625,7.009472116158828
2018-01-28,1246.010009765625,7.127701732834893
2018-01-29,1182.3599853515625,7.075267707733231
2018-01-30,1071.1300048828125,6.976469449526213
2018-01-31,1118.31005859375,7.019573948533395
2018-02-01,1036.7900390625,6.943884718166153
2018-02-02,915.7849731445312,6.8197815916416955
2018-02-03,964.0189819335938,6.871110985219167
2018-02-04,834.6820068359375,6.727050822180042
2018-02-05,697.9509887695312,6.5481488836345045
2018-02-06,793.1220092773438,6.675977067652835
2018-02-07,757.0679931640625,6.629453068643127
2018-02-08,817.8070068359375,6.706626375802785
2018-02-09,883.864990234375,6.78430432499463
2018-02-10,860.4149780273438,6.757414805456075
2018-02-11,814.6599731445312,6.702770815318589
2018-02-12,868.7069702148438,6.767005864964367
2018-02-13,845.2579956054688,6.739641900999592
2018-02-14,923.5609741210938,6.828236822496114
2018-02-15,936.9760131835938,6.842657682320132
2018-02-16,944.2100219726562,6.850348622303533
2018-02-17,974.114990234375,6.881529356462913
2018-02-18,923.9210205078125,6.828626592347538
2018-02-19,943.864990234375,6.849983137097816
2018-02-20,895.3709716796875,6.7972381258930135
2018-02-21,849.9710083007812,6.745202241021241
2018-02-22,812.844970703125,6.700540403422518
2018-02-23,864.1890258789062,6.7617915248276494
2018-02-24,840.5150146484375,6.734014816637282
2018-02-25,844.8099975585938,6.739111747113263
2018-02-26,869.3150024414062,6.767705548007429
2018-02-27,878.2650146484375,6.77794838709822
2018-02-28,855.198974609375,6.751334160703306
2018-03-01,872.2000122070312,6.771018769404345
2018-03-02,856.85302734375,6.753266407208804
2018-03-03,857.2249755859375,6.7537003994161475
2018-03-04,866.677978515625,6.764667487389699
2018-03-05,853.6840209960938,6.749561126488499
2018-03-06,816.9509887695312,6.7055791037943955
2018-03-07,752.8309936523438,6.623840758587773
2018-03-08,704.5960083007812,6.557624600692085
2018-03-09,728.916015625,6.5915585204680855
2018-03-10,686.8900146484375,6.532174184279756
2018-03-11,723.3389892578125,6.583877977086257
2018-03-12,699.8309936523438,6.550838868253137
2018-03-13,690.8270263671875,6.537889468794992
2018-03-14,614.291015625,6.420468782676311
2018-03-15,611.3040161132812,6.415594406804169
2018-03-16,601.666015625,6.399702500034574
2018-03-17,552.7789916992188,6.31495826829285
2018-03-18,538.6439819335938,6.2890548367791235
2018-03-19,556.7260131835938,6.322073221569644
2018-03-20,557.1749877929688,6.322879351797187
2018-03-21,561.7319946289062,6.331024858266762
2018-03-22,539.7020263671875,6.291017184235276
2018-03-23,539.6190185546875,6.290863369366097
2018-03-24,526.4390258789062,6.266135514571026
2018-03-25,524.2869873046875,6.262039220091939
2018-03-26,489.95098876953125,6.194305363182723
2018-03-27,450.1159973144531,6.109505321356816
2018-03-28,446.27899169921875,6.100944298376766
2018-03-29,385.9679870605469,5.955754430949224
2018-03-30,394.6449890136719,5.977986598781698
2018-03-31,396.4570007324219,5.98256758811319
2018-04-01,379.60699462890625,5.939136492880305
2018-04-02,386.42498779296875,5.9569377684487295
2018-04-03,416.89300537109375,6.0328296070321485
2018-04-04,380.5429992675781,5.94159917819043
2018-04-05,383.23199462890625,5.9486405359017995
2018-04-06,370.2850036621094,5.914272989292621
2018-04-07,385.3139953613281,5.954058574256445
2018-04-08,400.50799560546875,5.992733730367734
2018-04-09,398.5260009765625,5.987772743219868
2018-04-10,414.2430114746094,6.026452785855639
2018-04-11,430.5400085449219,6.0650402546132876
2018-04-12,492.9410095214844,6.200389510740289
2018-04-13,492.7349853515625,6.199971474440341
2018-04-14,501.4779968261719,6.217559731715981
2018-04-15,531.7020263671875,6.276083231613032
2018-04-16,511.1470031738281,6.236657226276374
2018-04-17,502.8940124511719,6.220379437064432
2018-04-18,524.7890014648438,6.262996279835654
2018-04-19,567.8889770507812,6.341925936677016
2018-04-20,615.718017578125,6.42278909505587
2018-04-21,605.39501953125,6.405881169813194
2018-04-22,621.8599853515625,6.4327149634630905
2018-04-23,642.5479736328125,6.465441481114706
2018-04-24,708.1580200195312,6.5626672609080465
2018-04-25,615.416015625,6.42229848728931
2018-04-26,662.8090209960938,6.496486895894448
2018-04-27,647.031982421875,6.4723957251522535
2018-04-28,683.677978515625,6.5274870151215465
2018-04-29,688.8809814453125,6.535068515083958
2018-04-30,669.9240112304688,6.507164289878995
2018-05-01,673.6129760742188,6.512655726510713
2018-05-02,687.1489868164062,6.532551134527543
2018-05-03,779.5430297851562,6.658707888751249
2018-05-04,785.6240234375,6.666478336304758
2018-05-05,816.1199951171875,6.704561396992589
2018-05-06,792.3109741210938,6.674953958842196
2018-05-07,753.7249755859375,6.62502754760428
2018-05-08,752.8569946289062,6.623875295592475
2018-05-09,752.2750244140625,6.623101981044006
2018-05-10,727.2769775390625,6.589307391962737
2018-05-11,679.5859985351562,6.521483787076944
2018-05-12,686.0479736328125,6.530947557690076
2018-05-13,733.4959716796875,6.597822105652056
2018-05-14,730.5490112304688,6.593796321658097
2018-05-15,708.8709716796875,6.563673523623194
2018-05-16,707.0499877929688,6.56110136748905
2018-05-17,672.656982421875,6.511235515345787
2018-05-18,694.3670043945312,6.543000645504241
2018-05-19,696.530029296875,6.546110906858832
2018-05-20,715.3690185546875,6.572798519421814
2018-05-21,699.2219848632812,6.549968266729276
2018-05-22,647.7410278320312,6.473490968064207
2018-05-23,583.5850219726562,6.369190151433497
2018-05-24,601.7550048828125,6.39985039384141
2018-05-25,586.7340087890625,6.374571580485112
2018-05-26,587.280029296875,6.375501757688227
2018-05-27,572.6680297851562,6.350306194173298
2018-05-28,516.0360107421875,6.246176551306529
2018-05-29,565.3880004882812,6.337512221985606
2018-05-30,559.5900268554688,6.32720442071591
2018-05-31,577.64501953125,6.358959526943014
2018-06-01,580.0430297851562,6.3631022900733285
2018-06-02,591.8079833984375,6.3831822299028955
2018-06-03,618.3289794921875,6.427020645096109
2018-06-04,592.9849853515625,6.385169078865306
2018-06-05,609.302978515625,6.412315645664665
2018-06-06,607.1240234375,6.408733092161424
