asset,LR,RF,XGB,LGBM,ARIMA,GRU,LSTM,DLinear,PatchTST,TimeMixer,TimeFilter,Crossformer,FEDformer
AUDUSD,0.7703874616803088,0.6931655031356011,0.7419849843219943,0.7144195587983567,0.7577735481310883,0.7672594953082693,0.7782338318135135,0.6995268150306557,0.7317888585011361,0.7648509714138993,0.7546083075923563,0.7766527312019544,0.7632853591547104
COPPER,0.7566020825138231,0.5762568386950213,0.6663627396544756,0.6550996065811192,0.7574350826471031,0.7420142604226865,0.7338409035845851,0.6923676952970499,0.738656170460291,0.7509441837300168,0.7436039889037638,0.7183932634773351,0.7192730734966473
FTSE,0.7335133318576273,0.5117461800269661,0.7293234454074362,0.6154891637006771,0.7366931073550294,0.7423743984622859,0.7068740950792205,0.658997006743426,0.7041580037698908,0.7261565705875588,0.7171996422796951,0.7361039085301841,0.7318743631362048
LTC,0.7490381655894122,0.6424192059095106,0.7240335487842413,0.7245921822099107,0.768468759618344,0.7601461988304093,0.7584764542936288,0.6535180055401663,0.731243459526008,0.7412634656817482,0.7467897814712219,0.7568082486919052,0.7212588488765774
TSLA,0.818134025301444,0.5668920731027317,0.684311119089779,0.6345277127244341,0.7618241410918626,0.7897186431549829,0.7210728769716603,0.7023676243788198,0.7749913367986139,0.8230585860893738,0.8100238544038166,0.7839445718311315,0.7593946095031375
MEAN,0.765535013388523,0.5980959601739662,0.7092031674515853,0.6688256448028995,0.7564389277686854,0.7603025992357267,0.7396996323485217,0.6813554293980235,0.7361675658111879,0.7612547555005195,0.7544451149301709,0.7543805447465021,0.7390172508334556
